id,code,name
390,BIS 645,Stat Methods in Human Genetics
390,CB&B 647,Stat Methods in Human Genetics
390,GENE 645,Stat Methods in Human Genetics
391,BIS 650,MS BIS Thesis Research
392,BIS 681,Statistical Practice II
393,BIS 691,Theory Generalized Lin Models
394,BIS 695,Internship Biostat Research
395,BRST 154,Modern British Theater
396,BRST 195,GoldenAgePaintinginBritain
397,BRST 211,Queen Victoria & Royal Reps
397,ENGL 243,Queen Victoria & Royal Reps
398,BRST 212,Virginia Woolf's London
398,ENGL 254,Virginia Woolf's London
399,C&MP 560,Cellular& Molecular Physiology
399,ENAS 570,Cellular& Molecular Physiology
399,MCDB 415,Cellular& Molecular Physiology
399,MCDB 560,Cellular& Molecular Physiology
399,PHAR 560,Cellular& Molecular Physiology
400,C&MP 580,Bioenergetics and Metabolism
401,C&MP 600,Med PhysiologyCase Conferences
402,C&MP 610,Mentored Clinical Experience
403,C&MP 630,MoleculrMedPhrmclgy&Physiology
403,PATH 680,MoleculrMedPhrmclgy&Physiology
403,PHAR 502,MoleculrMedPhrmclgy&Physiology
404,C&MP 650,ResponsibleConduct of Research
404,PATH 660,ResponsibleConduct of Research
404,PHAR 580,ResponsibleConduct of Research
405,C&MP 711,Practical cryo-EM Workshop
405,MB&B 711,Practical cryo-EM Workshop
406,CAND 999,Prep: Admission to Candidacy
407,CB&B 523,Biological Physics
407,ENAS 541,Biological Physics
407,MB&B 523,Biological Physics
407,PHYS 341,Biological Physics
407,PHYS 523,Biological Physics
409,CB&B 567,Topics in Deep Learning
409,MB&B 567,Topics in Deep Learning
409,S&DS 567,Topics in Deep Learning
410,CB&B 601,ResponsibleConduct of Research
410,IBIO 601,ResponsibleConduct of Research
410,MBIO 601,ResponsibleConduct of Research
411,CB&B 645,StatMethodsinComputationalBio
411,S&DS 645,StatMethodsinComputationalBio
414,CB&B 712,2ndLabRotationCompBio&Bioinfo
415,CB&B 713,3rdLabRotationCompBio&Bioinfo
416,CB&B 750,CoreTopicsinBiomedInformatics
417,CB&B 752,BioDataScienceMiningModeling
417,CPSC 752,BioDataScienceMiningModeling
417,MB&B 452,BioDataScienceMiningModeling
417,MB&B 752,BioDataScienceMiningModeling
417,MB&B 753,BioDataScienceMiningModeling
417,MB&B 754,BioDataScienceMiningModeling
417,MCDB 452,BioDataScienceMiningModeling
417,MCDB 752,BioDataScienceMiningModeling
417,S&DS 352,BioDataScienceMiningModeling
418,CBIO 502,Molecules to Systems
419,CBIO 601,ScienceFrontiersMedicine
420,CBIO 604,Systems Cell Biology
421,CBIO 606,Advanced Topics in Cell Bio
422,CBIO 701,Illuminating Cellular Function
423,CBIO 901,Research Skills and Ethics II
423,GENE 901,Research Skills and Ethics II
423,MCDB 901,Research Skills and Ethics II
424,CBIO 913,Third Laboratory Rotation
424,GENE 913,Third Laboratory Rotation
424,MCDB 913,Third Laboratory Rotation
425,CDE 516,Principles of Epidemiology II
426,CDE 526,Seminar in CDE
427,CDE 532,Epidemiology of Cancer
428,CDE 534,Applied Analy Methods in EPI
429,CDE 535,Epi of Heart Disease & Stroke
430,CDE 545,Hlth Disp by Race & Soc Class
431,CDE 551,Global NonCommunicable Disease
432,CDE 562,Nutrition & Chronic Disease
433,CDE 600,Directed Readings CDE
434,CDE 610,Appl Area Readings for Q Exams
435,CDE 617,Developing A Research Proposal
436,CDE 670,Adv Field Methods in CDE
437,CENG 120,IntroEnvironmentalEngineering
437,ENAS 120,IntroEnvironmentalEngineering
